,text
1037,Kayla Mueller tried to help the Islamists with humanitarian aid and they showed how much they appreciated it by imprisoning her. #Islam
544,I fear no niggah I trust no bitchhh..
2604, I'd like to focus on the plight of the Beaver. We are oppressed and I consider myself a victim.
6838," *hits blunt* ""bruh if she tells me to go text my other hoes, but she's one of my hoes, do I keep texting her ?"" "
18618,""" i txt my old bitch my new bitch pussy wetter """
19681,I chase bread over hoes cause i never met a dollar i aint like #Facts
10570,!!!!!!!!! she look like a tranny
7607," Fake pics get off my TL, u r dismissed muzzie. "
10202,It was my sophomore year that I learned these hoes weren't loyal
6047,We're a good match cuz we both retarded...n weed
2607,Whos pussy is it she said richie's
865,This ignorant bitch on msnbc said police have no training on their weapons. SMH
3593, In every Christian nation you can say what you want about Christians &amp
3678,tears &# ; #RelationshipGoals RT don't call me sweetie you fucking retard&# ;
5254, Every super hero a bitch except iron man Peter Parker the biggest hoe loser ass nigga no bitches no cribs no whips
3383,Lookin for your bitch she probably with me ?
4212,Never trust a bitch cause these bitches fuckin' anyone. Say you know a faithful bitch where she at? I Gotta get me one
9899,#MKR that wiped that horrible smile off Kat's face!!!!
4353, Play pussy get fucked
632, yes hoe. You ALWAYS had the camera!
11811, i got a missed call from yo bitch
2534," direct quote from OP: ""When it comes to learning i prefer a male"" so nice try"
3614,I like Rivers he talks a lot of trash you can tell he loves the game
1632," I also recommend pack of shiner Bock and hours of brisket duty at ""the pit"" feeding oak coals &# ;"
2296, Why ignore my question to deflect with yours? Are you aware men have LESS legal rights? Is that equality?
7484,If she a hoe on social media she a hoe in real life too
2683,Sitting at the bar at work watching Walking Dead and all these fucking wetbacks decide to come in &amp; turn on their spic music. Jesus Christ
4463, ugly white bitch
2317, shut up pussy
4755,If you know a guy has a newborn baby why the fuck are you trying to talk to him? Desperate ass hoe
7708, you are not a cat.you are a pussy! black bored kid kills a cop by starting a fire.WHERE IS THE OUTRAGE YOU PHONY?!?!?!? 
18970, The fact that I have a brain prevents me from accepting Islam.
11143,Nobody on planet Earth more protective than bull dykes
1769,I swear nobody can complain about hoe early they have to wake up to go to work. Because nobody wakes up at AM to get ready
9086, My favorite episode of Friends is the one where blacks mysteriously vanish and unemployed white people find affordable ho&# ;
9236, yes bitch I do realize dat
1256," Girls favorite line &# ; ""go talk to yo hoes"" &# ;&# ;&# ;"
3657,"When my friends are roastin my other friends and idk who to roast I'm just like wait ""who are your true nigs""&# ;always da clan&# ;&# ;&# ;"
10298,Rihanna must got the holy grail of pussy &# ;
8066,Come her lil bitch I want that sloppy toppy
19425,&# ; Why that hoe crying In her mugshot&# ;&# ;&# ;&# ;&# ; bruh
4369, Sometimes I turn my phone on loud to tweet just to hear the bird chirp. #TrueStory #TeamiPhone
544,Been Huntin hard and finally nailed her. Best wedding koozie I've ever seen. #redneck 
310, thanks little fag &# ;
9309,"#Crack that whip, cracker"
2503,"&# ; Alfredo Aceves in to relieve here in the th. #Yankees&# ; he needs to go away , gas can !"
3105,"That wiped the shit eating grin off your face pretty quick, Kat #MKR"
4804,Need a bitch to drop it down for a niggah
7646," Oreos: First you twist it, then you- aw crap, it broke."
7009,Friend zone ass nigguh
3867,stupid bitch&# ;&# ; count to H and get off my phone
11221,&# ; ohhhhh yes bitch yesss&# ;u ready T?&# ;&# ;
8429, is it full of niggers
10225," Classic drunk Carter texts never fail. Hey stfu I'm coming over. Oops, I'm here come the fuck outside bitch"
11566, your so fucking retared its not even funny bitch im going to sleep u
2802," js met a lil bitch wit a long name mufucka had more letters den Tennessee, I go gorilla ina pussy, RIP&# ;"
947, *sings Careless Whisper to broken year old flip flop on the way to the trash
1012, wow so the dolphin asked her to marry him and she kisses the other guy right in front of her rude ass bitch 
19687," Big dreams, cause that small goal shit is for the birds."
3328,That was my faggot rant for the night.
9838,"see: ""redundant"" Can I just fast forward to where I have a wife who cooks for me and cleans? I'm not sexist, just old school."
3187,its melting because you didnt put it in the freezer before you served it you dumb skank! #MKR
20106,I sho do miss my Uncle Tom
19866, more game of k then I'm finish my new book ... John Grisham cold then a hoe
4500,Why do yall bitches act so childish
7387,Social networks will ruin a bitches game.
4896, lol they turn down to early bunch a pussies
2345, When your at the pharmacist and they tell you your medicine will be ready in mins.... Wtf bitch it's been ... #stillwai&# ;
470,real nigga shit she wanna be a righteous young rich nigga bitch
4485,I find a new song I like and play that hoe way more times than I should lol..
2845, you a bitch nigga
1003, what are you doing up right now Tavares. Kickin my bitch to curb for being too dramatic again?
4964,Hey my folk. This nigger loving Jew boy asked if I was making death threats against his goat fucking people. Fuck him.
2104,Damn it be cold fo a colored man
1540,Kat and andre make me sick they don't deserve to be there. #mkr
3351, this bitch lmao
1073,LMaoooo.... &# ; Jesus healed folks wit Leoparcy but yall hoes wanna get leopard print tattoos&# ;
10011,Bet Charlie Strong has contacted Ridley
2988," Good for you. Too bad about those hurt by it or unprotected by it, right?"
2549,Every real nicca need a real bitch! #JayFacts
1387," Furthermore, all the Hadiths about Aisha's age are classified as Sahih - meaning Sound."
19117,&# ; ur pussy smell like dumpster juice &# ;&# ; wow &# ;
5263," people/day now being deported from Warsaw ghetto, packed into cattle cars for rail trip to Treblinka death camp. htt&# ;"
7524,My down bitch &# ; my crime partner &# ;&# ; ima bitch when he get mad &# ; my lil doctor &# ;&# ;&# ;
6813,My mentions &amp; tl moving fast af sorry if I'm flooding yo shit I'm lowkey tryna get off this hoe for yall
5090,The bitch who shot CJ is going upstate &# ;&# ;&# ;&# ;&# ;&# ; now he can RIP &# ; 
11066,Catch me on the episode of Vampire Diaries tomorrow night. I bitch slap 
6726, omg bitch go to sleep it was JUST a coincidence huh ? &# ;&# ;
8277, on flappy bird suck my dick and lick my balls #swag
3113,"When all else fails, blast bare nips"
3723,no flex zone.... hoe
6011,I am legend in this bitch
2708, And for the last years Muslims have contributed virtually nothing to science.
526,"You ever see bitches comment on a vine like ""oh my god, that's me!"" Knowin damn well she would neva do some shit like that lmfaaoo"
3142, why ur profile a one armed nigger?
18943, make sure her titties out Bouta take a pic of her laying on me like the side bitches do
1613,Gonna shower for the sole purpose of shampooing my beard.
10234,&# ; for all the bad bitches out there go have some fun&# ; &# ;&# ;&# ;
3338,The fuckin hoes
341," Big booty = sour face ,no hair ,or she a hoe."
2901, Why not? The Palestinians behead gays and honor kill women.
9181, The college tribunals only apply if BOTH attend that school.
3677,OMG &# ; when yo side bitch find the gift you bought for ya girl LMFAOOOOOOOO
4931,They love me at the place I bring my car to.....I don't know why Spanish men love me... sometimes I do look like a guala though Lol
6745,Bullets stick to a nigguh damn liver
4736,"gotta tip for the monogamous niggas, yo bitch fuckin' anonymous nigga."
3338, I dont have to live there to know you can't leave house without male relative
18326, if you hate men so much why you trying to look like one? Stupid little cunt
9603,"Scary bitches on Twitter never @ the nigga the have a crush on, always on some ""oomf"" shit"
1824, : needs to hurry up . It's chilly in this bitch
315, Overtime bitches.
2874," Guys in Guantanamo are militants captured in war. People in ISIS cages are women and children, microbrain."
9602," Cinco De mind yo own damn business, bitch"
2649,I got some bitch ass coworkers. I stay late every day last week I don't complain about them mfs. They stay late they send emails that I left
1827, When you deep in the pussy &# ; 
9971,"none here Chantel lol RT "" There has got to be some hoes. Water's Edge is TOO big for there not to be ANY."""
3625,When jake from State Farm keep calling yo bitch but yall got progressive 
1519,Your new bitch my old hoe
4525,This bitch takes bitch to another level
1274,#California is full of white trash who moved from #Oklahoma
949, aoas you write back bitch lol
2376, Darkskin girls got that juicy pussy &# ;&# ;&# ;&# ;&# ;
8700, She from the D. She might have some hoes on the stroll. All jokes aside Dej loaf dress like Jerome h&# ;
3811, Need a down bitch to bring me pizza
4965,A nicca ain't perfect but my heart is pure
4252, R.I.P &# ; to the hoes&# ; dying for attention.
553,I love the acoustic domes in the hallways. Favorite place to sing in public. No lie. 
4091, he's just a cunt and nobody likes him. He should choke on shit
2198, when you @ a bitch they never talking bout you all of a sudden &# ;
3517," No, I'm not, you cock sucking twink."
1714, Instead of doing something about the feminists who hate men I'm going to scream at you for pointing them out. #TweetLik...
3583,"&# ; back then hoes didn't want me, now I'm hot, they all on me.&# ;"
4044,Karmas a bitch
142, When a bitch tell me I'm ugly &# ;&# ;&# ;&# ; 
9947," translation: ""i like how i dont really have to think about it"" or ""i dont think queers deserve a happy ending"""
1207,KAT IS ACTUALLY PSYCHOTIC. OFF MKR INTO A PSYCHIATRIC WARD #mkr
3352,You can't call a bitch a bitch if you're a bitch
1474,"Yeah it was a great one actually, I'm fucking hilarious bitches &# ;&# ;"
11532,It's throw it in her throat thursdays so make a ghetto gaggler out of her
7671,Old lady went to pay and reached all the way over my plate. Hate eating on bar countertops. Stupid white bitch.
14," A word of advice, until you can show that wikiislam is false, don't bother me with your advice."
8330,&# ; Just seen pregnant bitches fight&# ; did the look like sumo wrestlers?
3986,""" These harbor bitches are all ""Party Bus hoes"""" Lol all?"
5087,The major coincidence in the score that Kat &amp
11541, bitch I texted you
11308,. Dunno...ran out of characters...meant which other character in the Transformers movies did he voice?
18957, Call me sexist but if a song is sung by a girl there is a % chance I'm going to hate it.
3185," Awesome. Will go into my ""daily use"" folder."
2999,. ...I was waiting for her answer to use that exact line.
11694, Don't you dare put in the water works Kat!! You're evil!! #cuntandandre #MKR
3016,Finally got an updated pic with angel wing colored 
19422, nigga I talk shit period this ain't nun new white bitch we go threw this every damn day &# ;&# ;
3872," ""Side hoes get no love"" - Thotology : "
7209, that was my mock done on a simulator check it out pick your team how many rounds and go for it
3665,Just purchased my first trenta iced coffee....this is a slippery slope
2435, The little girls draw the highest price because of your pedophile prophet.
18992, It's utterly stupid to tolerate the intolerance of Islam.
4963," if she can roll, wife that bitch."
8640,You bitch like to text emojis
3653,"This hoe straight up disappeared on me, like where did you go ?"
18376,Y'all be letting ya side bitches in the house y'all trippin
4185,&# ; LMAOOO I find this shit so funny y'all hoes ain't content with working it out with one nigga boring
11920,""" &# ; &# ; Prince, THIS is art. nobody takin his bitch!"
3344,I lied the fair isn't the only place Reno girls dress up like cowgirl sluts NITC hash tag bitches
3395,"Yep Nope and never will. Fellas u ever had some pussy so good YOU send a ""so what are we?"" Text?"
2008, It ain't nothing to cut that bitch off &# ;&# ;
10433,what a little bitch lol
1242, you a broke bitch too.
9562," Oh, I dont. Even the ERA only says ""rights"" not equal responsibility. Feminism is allergic to equal accountability."
3258, A nice round-up of voices in #China #Africa relations: 'China-Africa Trade: The Oriental Allure' 
847,These bitches finna fuck up my birthday week...
524,"And I lick it after you clean it , eat pussy like a dyke but I fuck like a demon &# ;&# ;"
1740, We live In a world full of unloyal hoes &amp; ugly niggas asking for hugs
139, Feminism.
10783,"She sent me one back, but I ain't even read it. Cause pussys only pussy and I get it when I need it.."
7647,""" ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &# ;"" lmaoo"
1016, But the pedophile prophet Mohammed only cared about his pecker and his perverted desires.
10684, I hate when people think I'm mad or sad cause I'm not talking.. nah I'm chillin bitch.
11218, This Jihadi is following in the footsteps of his prophet and marrying young. #Islam #Iran #Iraq #Hamas 
7284,Supporters of officer Darren Wilson rally in St Louis #ferguson #kkk #tcot #tpot #teabaggers #teaparty
19505,Spring breakkkk bitches &# ;
4464,#WhyIHateInstagram it can make a bitch cheat up to four points on the scale of to 
1909," So you support ""illegals"" coming here and spreading disease among Americans Dream that bitch!"
2241, And the Muslim Nazis left the Jews nothing but this. 
607, No. Just listing two of the only degrees more useless than mine...
1403,FK YOU KAT AND ANDRE! #mkr
1830," Have no answer there. Hillary is a horrifically flawed candidate, but...Bush? Romney? Santorum? Huckabee? Choice of shot or stabbed"
1758," I'm not sexist or anything by any means, but this is exactly why I won't watch girls basketball: "
719,"&# ; &# ; No one wants an ugly nigga, so you've got him all to yourself. No more stressing over hoes&# ; &lt;-&# ; lies !"
8504,Let me delete that for the little bitch Reports me to Mr.Olsen &# ;
1847,My hoes love to go shoppin
11101, Ugliest bitches I've ever seen &# ; 
6590,Seen niccas come up ... I seen niccas fall
3475," bitches came over, yeah we threw a party "
375, if McCoy wasn't trash that's a TD
4574,RT I'm not sexist but I can't stand female commentators on sports
4173,"How now, gung-ho?"
10291, Can't stand female announcers doing play by play for football. Not sexist but every time I hear Holly Rowe doing a game I ca...
4924, I talk with a number of single American ladies who can't understand why they can't keep a partner. If I told them they'd call ...
7508, Thanks Carolina fans the flipped birds+few bottles to the head. Sticks n stones may break my bones but aluminum zimas will &# ;
3837, Now let me write your mom since I have her address &amp; let her know her daughter is in Miami selling pussy for $ &# ;
3958,Ricky is such a bitch when it comes to girls&# ;
5667,How you look like big bad mama but make fun of a pretty bitch wow where they do that at ? 
2208, Of course The old leach Mohammed gave himself permission to screw pretty much whatever he liked. 
7125,""" &# ; So hot!! Lick it, bitch fuck yeah. Eat that trainer u dirty fucker"
3864,I roll a blunt better than the bitches in Havana ! Cause I'm the king round here !
7635, gotta keep fighting bro Thea hoes just trying to bring me down. #thestrugle
1670,"The clips hang down to the dick.. That's a automatic shotty from a drum they call tommy, guarantee to get you bitches from by me"
3679,Not dumb blondes...mmm...perhaps just delusions of adequacy? #MKR
4865, Tbh I left all my hoes alone &# ;
3003,"the rams really dont wanna be trash, jeff fisher really bout it"
793, Shout out to all the bitches who don't have to dress half naked to get a mans &# ;attention. Stay classy!
18903,"#MKR ""If I could score them a zero then I would because I'm a super slut"". #cheats #irritate #ratingsbonanza #uglycow "
19998, You sound like an Islamolunatic.
8256,&# ; Loyal pussy .
4320,but at the same time she hates me so I don't wanna trust her bitch ass
330,&# ; huge nips scary me&# ; they scary me too
3113,Its suppose to be yellow but we dont do yellow &# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ; 
3533, not about you fag. I miss you like crazy &# ;&# ;&# ;
18543, Ain't Talk My Mova N A Week First Thing She Say Is Where Shy An Benny &# ;
2173, This is what Christians and other non Muslims have had to deal with for years in the Middle East.
4361,"My name is Bryanna you can find me at I'm the baddest bitch you'll meet, because everybody wants to be me&# ;&# ;&# ;&# ;&# ;&# ;&# ;"
10827, Mohammed was a sexist who abused women. ISIS are all sexists and abuse women.
4309,Only keep real bitches in attendance &# ;&# ;
4358, &# ; &# ; bitch&# ;&# ;&# ;&# ;&# ;man that's so cute to me &# ;&# ;&# ;&# ;&# ;find a date
5173," Well I just got conformation that is your body count is five or above, it's high and you a hoe &# ;&# ;&# ;"
11625,Marijuana turn good pussy great..
1216," I knew a bitch in college who sold the pussy for - ""favors"""
1671,""" Pit Bulls Photographed As Lovely Fairy Tale Creatures They *are* fairy tale creatures."
3447,These niccas sangin on dey partnas witout a Grammy award
659, Isn't there a law that all clam chowder must be served im bread bowls? Haha
6889,Better nip that shit in the bud early.
8240, You a hoe &# ; I just thought you were cute that&# ;s why I kissed you&# ;&# ;
18973, Message to the homies...dont blow a good girl. Having hoes is childish...in the end they do nothing for you either.
2646,&# ; grown. mature. pretty. &amp;etc. All that goes out the window when a bitch play with me.&# ;
1228, Manipulative and threatening BS. Proving that people have to be intimidated into following the god of terror.
360,"Pillow talkin to bitches, i see her she bad but NIGGA SHE BASIC!"
4276,&# ; &# ;&# ;&# ;&# ; When you go down to eat the pussy and it smells tangy 
3438, hey bitch if your gonna talk shit tag me and quit being such a bitch how did I fuck up the car? Cause it won't hold air dumbass
1891, too make up for your yellow chompers? #candyass
5364, Look at that bitch way over there stalking my twitter
18214,""" ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
4532, &# ;&# ;&# ;&# ;&# ; oh my gosh why are so so cute?! FA LA LA LA LA LA LA LA LA bitch &# ;
9005,Ok... sucking dick isn't supposed to be done in a cute Manor at all. Just like eating pussy you're not supposed to be scared of it.
8133," This is lying propaganda. If you want to know what filth and hatred Islam is, just read the Quran."
20152, I gotta find them I know Cali got them hoes
6349, Don't tell your side bitch your family business that's none of their business.
4758,&# ; I wish i had my dad in my life but the bitch ass nigga still think im not his child!&# ; LMFAOOOO but damn that's sad cuh !
7578,&# ; And that's why mock drafts are a joke my friends.....&# ;Anyone???
9064,#Yankees #Jeter Let him play the entire inning. That's fitting.
7228,"lmao ""I'm years old, I'm tryna have some fun!"" = ""I'm a hoe"""
783,Red Sox fans bitch the loudest about right field. Their hitters exempt from hitting them out too? #Yankees #YankeeStadium
175," reasons to be a mermaid: - no periods - no pants - perfect hair - u get to lure men into their death also, free clam bra"
6411," Is that just a male thing? Whenever I click on ""Female friendly/female choice"" porn, it's same as main content."
1840,I gotta admit i used tell bitches everything they wanted to hear Bighead change my ways a lil bit
3625, I would dead upper cut that bitch
10956,Eat so much pussy that my mustache pink &# ;
2760, No one told me The Military is the worst place to be a bitch trying to get all emotional ontop babe
5845,Real nigga need a real bitch. Just somebody I can chill with.&# ;&# ;
18331,"""Fresh nigga so you kno I need a clean bitch... Who kno I'm working cuz I wanna see my team rich."" "
910,everybody gettin sick I feel like supa man in dis bitch
239,#firefighter is a job for white trash
1523, &# ;what are you twelve&# ; yeah on a scale of one to ten bitch
18433, If you had a brain it would be revolted by Islam.
18677, dat bitch a tampon
10264, &# ; Before I run from a niggah I'll lose the fight&# ;
19720, . we found your brother Charlie out working on the dishes today #DSN #NASAsocial 
494,The lies on this here Twitter &# ; You niggas wouldn't know grade a pussy even if it slapped you cross the face !&# ;
9068,So some pussy don't cream when they cum?
3860,You see these two pussies Jason capuano nd Jason cousins taking Chit on the gram but ain't about that&# ; 
981,' Cause these hoes ain't loyal ! And niggahs ain't either ! When it go down you callin for hittas that you ain't... 
6286,looks like my highlight of the night will be getting Lewis and having a quick fag outside work #shite
