i	pred
30895	1
30212	1
33793	0
30630	0
31901	0
31418	1
30660	0
32458	0
31100	0
32843	0
34530	0
30068	0
34532	0
31759	1
31693	0
32010	0
33911	1
33934	0
34592	1
30972	0
31645	0
33645	1
31606	0
33809	0
33100	0
30937	0
31825	0
34247	0
30027	0
34369	0
30674	0
30092	0
34359	0
30236	0
30284	0
34184	0
31473	1
31567	1
31281	0
31724	0
32383	0
30369	0
32589	0
30560	1
31917	0
33590	0
31720	0
34257	1
31400	0
32480	0
34080	0
33842	0
33212	0
33558	1
31580	0
31899	0
32067	1
30327	0
32126	0
32986	0
30652	0
31194	0
34379	0
34393	0
31887	0
33701	1
31444	1
32124	0
31159	0
31775	0
31738	0
34325	0
30432	0
31458	1
31821	0
34493	0
33011	0
34340	0
33653	0
30658	0
31935	1
30164	0
30335	1
30265	0
33186	0
33607	0
31871	0
34499	0
32089	0
32181	0
31240	0
34488	0
30292	1
31602	0
32706	0
33220	0
30167	0
31492	0
32056	1
31039	0
30598	0
34500	0
30415	0
33429	1
31519	0
30483	0
30247	0
32857	1
33860	0
31254	0
31701	0
31675	0
30753	0
31521	0
30891	0
30101	0
32374	0
30126	0
31890	1
31868	1
32174	0
31366	0
30484	1
31182	0
33137	0
33856	0
30633	0
34148	1
32423	0
34464	0
34064	0
31223	0
31964	0
32262	1
33154	0
33002	0
33853	0
30001	0
30259	1
31336	1
30003	1
31030	0
33871	0
34357	0
33571	0
34539	0
31696	0
32141	1
31577	0
33179	0
34100	0
31792	0
31632	0
33302	0
33218	0
33983	0
30465	0
32931	1
32085	0
30011	0
32564	0
30760	0
33426	0
34099	1
34316	0
30737	0
32519	0
34032	0
32524	0
30791	1
31967	0
30115	0
30085	0
34334	0
31756	0
33740	0
30026	0
33705	0
31650	0
30527	0
30372	0
32818	0
32815	0
30487	0
30577	0
32664	0
33188	0
30152	0
30585	1
34146	1
31810	1
33519	0
31338	0
34069	0
30892	0
31225	0
34056	1
30921	0
31237	1
31449	1
30877	1
32758	0
32715	0
32022	0
34116	0
30351	1
30286	0
33474	0
32791	0
31358	0
34210	1
30442	1
32935	0
33967	1
31219	0
33388	0
32284	0
33761	0
30225	1
33975	0
30044	0
32744	0
30262	1
31893	0
34052	0
34098	0
33288	0
34467	0
32223	0
30188	0
34003	0
31162	0
30884	0
34428	0
31322	0
32473	1
33296	0
30812	0
33963	1
30897	0
32849	0
31256	0
32092	0
32004	1
32622	0
30934	0
30018	0
34266	1
30961	0
31736	1
33089	0
30129	0
31685	1
31360	1
31905	1
34363	0
30979	0
34551	0
32487	1
33573	0
33141	1
34537	0
33448	1
30498	0
30723	0
31468	0
32203	1
30385	0
33276	0
32954	0
31878	1
32797	0
31743	0
33174	1
34014	0
33646	0
31683	0
33549	0
32129	1
31119	0
30948	0
30730	0
32428	0
31435	0
31291	0
31570	0
32859	0
31067	0
32406	0
31068	0
33625	0
30994	0
33368	0
34569	0
31126	1
32336	0
31157	0
34160	0
32922	1
31783	0
34220	0
31652	0
31185	0
31798	0
32673	0
34282	0
30573	0
32006	1
33986	0
30427	0
31794	0
33512	0
30224	0
33251	1
33126	0
32830	1
31561	1
30666	1
31670	0
33892	0
33264	0
34430	0
33236	1
32569	1
33912	0
31106	0
31137	0
33231	0
31378	0
33130	0
33481	0
34143	1
33033	0
34258	1
31467	0
30389	0
33858	0
33759	0
33760	0
30028	0
32273	0
33285	0
34054	0
33938	0
30362	0
32540	0
32199	0
31611	0
30562	0
32171	0
30146	0
32947	0
31276	0
30204	0
31323	0
31022	0
32730	1
34111	0
30915	0
33688	0
31684	0
32131	0
33358	0
34454	0
30371	0
31388	0
30940	0
32980	1
34547	1
33099	0
32723	1
33784	0
31906	0
30859	0
32924	0
32990	1
32187	0
31305	0
31624	0
34205	0
34274	0
30316	0
31070	0
30423	0
32435	0
31539	0
33958	1
30714	0
32953	0
34144	0
31216	0
32146	0
33400	0
32249	0
30246	1
30974	0
30809	0
31283	0
33906	0
30664	0
33872	0
33583	1
32370	1
31181	0
33824	0
30322	0
30524	0
30580	1
30148	0
31629	0
30050	0
30513	0
32197	0
30905	0
31975	0
31015	0
30794	0
30049	0
32913	0
34265	1
33613	1
33678	0
30894	0
31831	0
33433	0
31278	0
32279	0
30252	1
31857	0
32582	1
31729	0
31288	0
33972	0
34554	0
33127	0
31644	1
31222	0
32232	1
31353	0
31479	0
31925	1
30391	1
33880	0
31835	0
31399	1
32327	0
31083	0
34366	0
31227	0
32806	0
31797	0
31884	0
30654	0
34007	1
33947	0
33201	0
33036	1
32440	0
32732	0
33641	0
32054	0
31782	1
30145	0
32193	0
32981	0
32576	0
30704	1
33007	0
31170	1
33634	0
32466	0
32804	1
32329	0
33203	0
30163	0
30137	0
33038	0
31313	0
34123	1
33261	0
34348	0
32606	0
33046	0
30376	0
33438	0
30464	1
33655	0
30698	0
32270	0
32350	0
34302	0
30384	0
32278	0
30530	0
33643	0
32578	0
33941	0
34202	0
34074	0
31503	0
34336	1
32456	0
30549	1
32463	0
34253	0
32118	0
30345	0
30955	1
30694	0
30926	1
34188	0
30538	0
34289	1
33071	0
33956	1
33299	0
30735	0
34382	0
31290	0
31574	0
31674	0
33510	0
31614	0
31062	0
32775	1
30788	0
30902	1
32928	0
33005	0
34317	0
34126	0
32738	0
32839	0
33327	0
31090	0
30302	0
30232	0
30829	1
33899	0
32271	0
31455	0
30557	0
30576	0
30186	0
30770	0
33062	1
31536	0
32077	0
31814	0
32681	0
30690	0
30625	1
33213	1
30273	0
30261	0
31566	0
32975	0
31535	0
32087	0
31340	0
31877	0
32152	0
32543	0
32814	0
33576	0
31721	0
33927	0
33255	0
32748	0
33542	0
31713	0
33614	0
34020	0
33528	0
30605	0
31231	0
33158	0
33324	0
33004	0
32486	0
33664	1
31623	0
30651	1
30196	0
31718	0
31527	1
33419	0
31443	0
31421	0
33079	0
32683	0
32257	0
31594	0
34368	0
32055	0
30609	0
32533	0
31829	0
31055	0
30404	0
34216	0
34059	0
33208	0
33942	1
30274	0
34262	0
34590	0
33560	1
31852	0
30534	0
30094	0
34209	0
32179	0
34255	1
32259	0
34061	0
30772	1
32023	0
33153	0
31895	0
30429	0
32840	1
33527	1
30226	0
33595	0
33165	0
30971	0
30425	0
32303	0
32724	0
33235	0
31790	0
33917	0
32495	1
30997	0
33101	0
30172	0
30523	0
30051	0
34211	0
30985	0
32875	0
34452	0
32180	0
33266	0
31410	0
31260	0
31589	0
33224	0
33462	0
32725	0
34365	0
33233	0
33219	0
33376	1
33128	0
30984	0
32444	1
33197	0
32842	0
31972	0
33336	0
31200	0
31406	0
34505	0
33114	0
33823	0
32619	0
33309	0
31267	0
32930	0
34534	0
34581	0
33840	0
34331	0
32832	0
34559	0
30390	0
32916	0
33577	0
31450	0
31183	0
32961	1
30797	0
34157	0
33969	0
32735	0
33883	0
30773	0
33391	0
31177	1
33566	0
33262	0
34051	0
32244	0
31152	1
32021	0
34086	1
33924	0
30306	0
31532	0
34457	0
32733	1
32099	0
32558	1
34335	0
33521	0
32142	0
34228	1
30808	0
30555	1
30579	0
33163	0
32455	0
33642	0
34572	0
33582	1
32698	0
33458	0
32653	0
30823	0
33055	0
34083	0
32498	0
31987	0
32322	0
31262	0
33081	0
30727	0
32136	0
34053	0
34332	0
30603	0
32490	0
33016	0
31161	0
30667	0
31639	0
32854	1
32781	1
31192	0
34367	0
32173	0
34587	0
32892	1
32037	1
31456	0
33660	0
30656	0
31733	1
32545	0
33543	1
30564	1
31692	0
34286	0
31245	0
32016	1
33022	0
31862	1
32559	1
32325	1
34133	1
33253	0
34012	0
32382	1
33675	1
33882	0
32027	0
31777	1
34478	1
33019	1
32467	1
33568	1
33297	1
30754	1
32586	1
33563	1
32501	1
33248	0
34004	1
31285	1
34426	1
30043	0
32396	0
32858	1
30659	0
33424	1
31604	0
32441	0
32121	1
30250	1
34391	1
31769	0
30804	0
31667	1
33031	1
33121	0
30205	1
33513	0
31664	0
30515	0
31921	0
32451	0
30053	1
30993	0
31221	0
33413	1
32925	1
31947	0
33053	0
31762	0
32704	0
31545	0
34190	0
30792	1
33895	0
33502	1
31633	1
33526	0
30228	0
33094	1
32883	1
31081	1
33852	1
30195	0
34485	1
33638	1
33861	1
30574	1
33626	0
30668	1
32148	0
34406	0
34400	0
32607	1
32902	1
33392	0
33876	1
34402	1
32132	1
33117	1
33161	1
30123	0
33456	1
33722	1
30836	0
32997	0
31320	1
33817	1
31931	1
34384	0
32631	1
30271	1
31817	0
30996	0
31508	1
34001	1
31432	1
30531	1
30135	1
31506	0
33467	0
34009	1
30278	1
31229	1
32813	1
32534	1
31764	1
33553	0
31908	1
33792	0
32314	0
31844	1
32798	0
34002	0
32654	1
32317	0
32007	1
33928	0
32438	1
33881	1
30967	1
33484	0
34141	1
34516	0
31881	1
31615	1
31011	0
32425	0
30888	0
33708	0
30108	0
32013	0
31286	0
31996	1
33885	0
33814	0
30006	0
31394	1
32158	0
31686	0
34341	0
34087	0
31333	0
30653	0
32465	0
34124	0
31568	0
34556	0
32113	0
34309	1
32770	1
30112	0
30297	0
34527	0
33976	0
31059	1
32945	0
30626	0
30693	1
33243	1
30323	0
31452	0
32297	0
30201	0
30184	1
32565	0
33305	0
34235	0
33221	0
34050	0
34279	0
30569	0
32430	0
31558	1
31129	0
30034	0
32591	0
32245	1
34048	0
31584	0
30031	0
31551	0
34549	1
34298	0
34198	0
31352	1
34267	0
33866	1
33965	0
33500	0
30260	0
32358	0
32346	0
31747	0
32093	1
31678	0
32996	0
31804	1
32104	0
32871	1
33066	0
30588	0
33623	0
30697	0
32739	1
30755	0
31542	0
30296	0
31839	0
33819	0
30168	0
34213	0
34299	0
30039	0
34259	1
32095	0
32292	0
33684	1
32761	0
30853	0
31096	1
33447	0
33403	0
30056	0
32094	0
30149	1
32694	0
31248	1
33966	0
32785	0
30420	0
32491	0
30455	0
30871	0
31355	1
30641	0
31627	0
33587	0
32151	0
31093	0
31876	1
34162	1
31135	0
32520	1
34378	0
32105	0
32872	1
31048	0
33008	0
34561	0
34371	1
32332	0
34095	1
32767	1
33533	1
30582	1
31730	0
30662	0
33461	0
34421	1
32470	0
33808	0
30995	0
30639	0
31768	0
33280	1
30495	0
30078	0
32837	0
30916	0
30687	1
34394	0
33644	0
32011	0
33666	0
30397	0
30510	0
32955	0
33673	0
30359	0
30845	0
34597	0
32159	1
31079	0
34518	0
31193	1
33677	0
34594	0
33160	0
32963	1
33242	0
33009	0
33017	0
34576	0
31317	0
31515	0
31111	0
33713	0
32966	0
34249	1
30368	0
30421	1
31034	1
31072	0
33225	0
32429	0
34078	0
33689	0
31268	0
33744	1
34263	1
30673	1
34016	1
30089	1
34494	1
33697	0
32836	0
33317	1
32195	1
30095	0
34294	1
30052	1
33059	1
30952	1
34165	0
30121	0
32247	0
31526	0
34520	0
33104	0
30138	1
30645	1
31833	0
30264	0
33957	1
31682	1
30935	0
34040	1
32468	0
32254	0
32289	0
30890	0
32217	0
32811	1
31838	0
30918	0
31617	0
30700	0
33112	0
31638	0
31849	0
31538	0
30307	0
31139	1
33887	0
30913	0
34291	0
32293	0
33332	0
34491	0
30354	0
33382	0
31001	0
32464	1
32602	0
32665	1
33665	0
34044	0
34410	0
32692	0
32230	0
31919	0
33282	0
30402	0
30932	1
30710	0
32399	0
30340	0
31132	1
30887	0
33077	0
32166	1
30181	0
30065	0
34193	0
30202	0
32510	0
31800	0
33348	0
30649	0
34241	1
30848	1
30780	0
34308	0
30179	1
31911	0
30378	0
33301	0
32669	0
34194	0
34463	0
30075	0
30467	0
32302	1
32651	1
31121	0
32820	0
34449	0
32106	1
30200	0
32264	0
33259	0
30959	0
32734	0
32977	0
30521	1
32658	1
30640	0
31534	0
31445	0
30024	0
32711	0
33407	0
31478	0
30017	0
30536	0
32323	0
33369	0
32866	0
31472	0
32413	0
33494	0
31497	0
32364	0
30416	0
31261	0
30103	0
34264	0
32453	0
31489	0
34011	0
31476	0
34337	0
31441	0
31681	0
30799	0
33729	0
30976	0
31335	0
32601	0
32752	0
31457	0
31595	0
33318	0
31909	0
32944	1
32305	0
32917	0
31576	0
31047	0
33773	0
33410	0
33523	0
31154	0
31820	0
33095	1
33770	1
32236	1
32881	0
32697	1
33865	0
30784	0
30583	0
32563	0
33485	0
32762	0
30379	0
30502	0
31557	1
34138	0
34300	0
33373	0
32051	0
31259	0
32115	1
31788	1
33294	0
33199	0
33536	0
34185	0
33103	0
34187	0
31246	0
30623	0
32712	0
31434	0
32570	0
34474	1
32949	0
33010	0
33292	0
30413	0
30624	0
33517	0
32610	0
30233	0
31485	0
30235	0
33483	0
30908	0
34277	0
32392	0
33908	0
32693	0
32407	0
32200	0
33477	0
33020	0
32280	0
32831	0
32793	0
30854	0
34167	1
33265	0
32648	0
31018	0
30048	0
31198	0
30548	0
33184	0
33893	0
31463	0
30249	0
32192	0
33290	0
31436	1
33755	0
33432	0
32691	1
31666	0
33003	0
31171	0
33015	0
30745	0
33622	0
31469	0
32542	0
31732	0
30400	0
30866	0
34540	0
34112	1
30954	0
31402	0
32404	0
31640	0
34529	0
33686	0
31897	0
30090	0
33476	1
31620	0
32452	0
33914	0
34057	0
33404	1
31582	1
32792	0
30632	0
31089	0
30054	0
30417	1
30314	0
31224	0
32595	0
33460	0
32296	1
33088	0
34252	0
33700	0
32390	0
31655	0
30781	0
31301	0
30631	0
32530	0
32699	0
34580	1
31562	0
33687	0
31036	0
33195	0
31813	0
30387	0
31815	1
32454	0
31087	1
34422	0
33180	0
32224	0
31066	0
31781	0
31520	0
34246	0
32921	0
33145	0
30239	0
30151	0
30655	0
33923	0
33049	0
31840	0
31409	0
34566	0
32731	1
33594	0
34440	1
32773	0
32680	0
31116	1
34453	0
30120	0
32318	1
32328	0
33925	0
33499	0
34472	0
33531	0
33085	0
34084	0
31460	0
33454	0
34315	0
31957	1
30328	0
32355	0
30136	0
32161	0
33869	0
32026	0
32909	0
31140	0
32088	0
31522	0
30058	0
31787	0
33874	0
30707	0
33628	0
30214	0
34412	0
33025	0
30501	0
30889	0
33633	0
31134	0
33379	0
34147	0
31238	0
33522	1
33287	0
33133	0
34189	0
31597	0
32741	0
31687	1
30083	0
33271	0
32229	0
33125	0
32964	0
32999	0
30062	0
33396	0
34306	0
33940	0
32353	0
34324	0
32513	0
30650	0
30503	0
31501	0
34130	0
31723	0
32326	0
31086	0
32808	0
33150	0
31173	0
32970	0
33170	0
31754	0
32819	0
33427	0
31357	0
33562	1
31593	0
30750	0
30493	0
30931	0
31944	1
33973	0
33831	0
31141	0
32979	0
32145	0
34186	1
31836	1
34180	0
32215	0
31676	0
32251	0
33148	0
31776	0
32266	0
32001	0
30613	0
34245	0
33408	1
33139	0
34152	0
33723	0
30554	0
31235	0
31823	0
33578	0
31882	0
30802	0
32780	0
32242	0
31053	0
33040	0
33778	0
33867	0
30604	0
32912	0
32662	0
30392	1
30831	0
33955	0
32829	0
32048	0
30263	0
31230	0
32170	0
30076	0
30938	0
32422	1
33736	1
30086	1
31616	1
34270	1
32904	1
31318	0
31530	1
34280	0
32494	0
32335	0
31209	0
30765	1
30777	1
34212	0
33152	0
31232	0
32553	1
33601	1
30865	0
33680	0
34269	1
32518	0
32523	0
33663	0
30981	0
34390	0
32525	0
31439	1
32434	0
32982	0
31422	1
31591	0
32779	1
33471	0
31331	0
32749	1
30445	1
31927	0
31569	0
33032	1
31673	0
30711	1
32942	1
31035	0
31344	0
31174	0
30069	1
33498	0
30724	0
34531	0
31234	1
34320	0
34327	0
31564	0
33747	0
33570	0
33270	0
31071	0
32039	0
31654	0
32028	0
30155	0
32255	1
33267	0
34423	0
34191	0
33135	0
30276	0
31107	0
34546	0
31697	0
30543	1
32038	0
33437	0
31065	0
30382	0
34511	0
33353	0
31621	0
31163	0
30471	0
34560	0
33802	0
33990	1
32117	0
33635	1
34195	0
33763	0
32926	0
32144	0
33489	0
33061	1
33210	0
32311	0
34311	0
32938	1
30691	1
33534	0
33329	0
32437	0
32726	1
33891	0
30165	1
31239	0
32009	1
31337	1
33446	1
30806	1
30060	0
31289	1
33611	0
31324	0
30957	1
30408	1
32321	1
32391	1
32995	1
33754	1
33092	1
30539	1
31203	1
32627	1
31910	0
30040	1
30742	1
34564	0
30758	1
33069	0
33608	1
33737	1
33767	1
32157	0
31179	1
30982	1
31180	1
33106	1
31855	1
31867	1
32283	1
33436	1
31751	1
34459	1
33171	1
30929	1
33910	1
33890	1
33075	1
30540	1
33256	0
32019	1
31211	1
33815	1
33421	1
33822	0
30684	1
31514	1
31950	1
30141	0
30525	1
32783	1
32639	1
32291	0
32381	1
30332	1
31796	1
31965	1
33726	1
33807	1
34029	1
32722	1
32163	0
33848	1
30176	1
31109	1
30962	1
32826	1
32907	1
33718	0
31601	0
31856	0
32620	1
32774	1
33682	1
33164	1
33322	0
31302	1
34373	1
34030	0
31763	0
34517	1
34226	1
34170	1
31249	1
34314	1
33006	1
34470	1
33293	1
33960	1
31581	1
31883	1
32869	1
31837	0
33631	1
34514	0
32164	0
31969	1
30004	1
31004	1
34405	0
33430	0
34155	1
34318	1
32460	1
32436	1
33087	1
31854	1
31518	0
32548	1
30903	1
31635	0
31215	0
33298	1
30522	0
32385	1
30294	0
31426	0
31312	1
32307	1
32847	0
34343	1
31061	0
34584	1
31710	1
33752	1
31780	1
34219	0
32041	1
32073	1
32645	1
30194	1
30928	1
31017	1
32527	1
33045	1
32920	0
30025	1
30907	0
32555	1
33394	0
33637	0
32156	1
33996	1
31199	1
30509	1
30646	1
31176	1
32971	0
32936	1
34431	0
30433	1
34519	1
30607	0
34575	0
32046	1
33768	0
33283	0
32140	0
30119	1
30683	1
32632	1
32708	1
32017	1
34046	1
33781	1
34254	1
34501	1
33749	0
30191	0
30762	0
30430	1
31610	1
31073	1
30304	1
30526	0
33694	1
32304	0
30287	0
30689	1
33617	1
30769	0
32987	1
33416	0
31404	1
33466	1
34110	1
31166	1
30785	1
34006	1
31942	0
31242	1
33365	0
32188	1
33319	0
33727	1
32776	1
32298	1
31940	0
30241	1
32168	1
34168	0
33091	1
32189	0
31592	0
30081	1
31618	0
30310	1
32800	0
34535	1
30572	1
33189	1
31306	1
32479	1
31958	1
30014	1
32127	1
31700	1
32400	1
33021	1
30869	1
31405	0
30813	0
33412	1
33776	1
33238	1
33275	0
32366	1
32633	1
31757	1
32267	1
33974	1
32300	1
33943	1
34506	1
30575	1
34276	1
33398	0
32742	1
31148	1
30303	1
31390	1
33779	1
32066	0
32740	1
30313	1
32805	0
31761	1
30591	0
34175	1
31075	0
31649	1
32331	1
30545	1
31709	0
34285	1
33254	1
32695	1
32477	1
30706	1
34062	1
31046	1
33674	1
33472	1
31498	1
33423	1
33156	1
31657	0
33790	1
31778	0
32978	1
30811	0
30485	0
32989	0
31124	0
33044	1
34361	0
31296	0
31309	0
33364	1
31397	1
30749	1
32258	1
31880	0
32838	1
33596	1
32795	1
34346	0
33604	1
34256	1
33746	1
31846	1
31005	1
32514	1
34372	0
34465	1
34260	0
30342	0
31979	1
30599	0
32177	0
31044	1
30071	1
33386	1
34035	0
33606	1
31774	1
32439	1
32401	1
31914	1
33039	1
33774	1
34015	0
32906	1
33656	1
32493	1
32206	1
30290	0
30830	0
30142	1
31263	0
32061	0
32846	1
33434	1
30620	0
30012	1
32344	0
31054	1
31021	1
31250	0
34477	1
32932	1
31869	0
33222	1
30885	0
33859	1
33362	1
33468	0
31772	1
33798	0
31105	1
32671	1
34397	1
34290	1
30409	1
33291	1
30734	0
33685	1
33409	0
34178	1
33984	1
32299	1
30189	1
31438	0
31596	1
33167	1
34115	1
30019	1
30844	0
30312	1
30219	1
34134	1
33378	0
33490	1
30206	1
33374	0
32367	0
30596	1
33098	1
33244	0
31228	1
31949	1
32827	1
30535	0
33230	1
33303	0
32950	0
33933	1
30992	1
30800	0
31956	1
31717	1
33113	0
33834	1
34068	1
31863	1
33733	0
33862	1
30269	1
31541	1
31913	0
32572	1
30096	0
32431	1
33281	1
31143	1
33504	0
32882	1
31679	1
30643	1
31210	1
34103	1
32499	0
30180	0
32049	1
30726	1
34360	0
33545	1
32505	0
30298	1
31013	0
30721	0
32492	1
31395	0
30999	0
34181	1
