,text
15281,Live birds found in Elmo doll at US-Mexico border (from 
2316, Perfect stock photography for an article about not letting a leprechaun-looking handyman get into your liquor cabinet
837,I have officially earned my right to bitch about things for the next two years! Yay!
6034, big titty bitch lmao fuck it good party
4967,"seriously these animal crackers have a slight fruit loops aftertaste. its really fucked up, it should not be this way but it is."
4405, that was real nicca shit tho lol
4528, hot pockets &gt; hoes
2953,"&# ; ""I am not a bitch, I am the bitch. So that is Ms. Bitch to you!"" &# ;&# ;"
7764,These niccas sangin on dey partnas witout a Grammy award
8656, your opinion of me is highly irrelevant bitch
14961," Oh but those last few that did.. Charlie, Wilma, Jeanne..."
2572,Elizabeth is a.stupid hoe.
15370, neck TITTIES then pussy
3115,"Picture time outside of metro, fucking fags"
992,I'm just sayin. That's my baby &amp; I already told you bitches.. &# ;
3836, When your teacher puts you in a group with a bunch of retards 
1268, do birds have a % out of wedlock rate? is it white fathers that are running away?
14998,Dey wants to rename our main street MLK Blvd. I told dem dat will even scare da colored folks away
2694,Tripped balls on.lsd bitch!!!
5936, If he Can't hear that pussy Smacking then it ain't Wet enough!
2536, Side bitch or main bitch you still ain't the ONLY bitch. &# ;&# ;&# ;
9112, bruh u such a pussy just talk
1086, Pusha T and Ye gonna have to write the whole bitch
3568, Cue the liberal left's Uncle Tom attacks against Tim Scott in ... ... ... #tcot #teaparty #GOP
4619,I'm old but my pussy still poppin tho
247, no wonder your career is in the dump that's where trash like you belongs. Thanks to for pointing out your true colors
3379, damn that hoe just came out but look at how many hoes said his shit jamming on my shit
6676," Be smart because you won't be pretty forever, bitch."
3119, If my girl get in a fight with your girl you better be ready to fade too cuz I'ma knock you out then go help my bitch stomp&# ;
291,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Korean | korean girlfriend pussy "
3155, bruh I'm under blankets like a bitch right now
692, I wish I would chase a hoe .
5091, ..............&# ;
198,"Cool, fun thing to ponder: the myriad of space trash traveling at thousands of miles per hour right above you &# ; "
3532, Don't lie to me bitch I'm giving you my heart
51, apparently not many bitches have seen that
2201, porn stars are % acceptable bro. Im was talking about these air mattress hoes....lol
433,"Drake T.I&# ; &# ; Stacks, Kendrick Name a rapper that alot of people like...but you think is trash&# ;&# ;"
817, &# ; Idk why I love skinny girls&# ; they got good pussy &# ;
16353," quit bitching faggot, happy you cant see your faggot family cry baby little girl crying in the parking lot, you aint a man sissy"
3372,Someone bitch slap me into the lake if you see me on FB tomorrow. I suspect my hard core GOP friends will be all over this.
3625,"TWITTER NEWSFLASH : do NOT ever visit Easton, pburg area, theirs hoes with diseases and niggas so thirsty gatorade would be worth trillions"
295,Ain't shit pretty but my bitch and my momma anyone can get the drama
2852," White girls, if your black boyfriend doesn't call you 'shawty', then bitch you ain't that special."
3701,I like the Yankees toinight - 
1413," in that picture yes, I haven't had an updated pic added the angel wing is colored now too, and thanks represents what I am ;)"
6694, Jihadi Work Accident: Seven Taliban Fighters Including Top Commander Killed When Roadside Bombs Detonate Prematurely&# ; h&# ;
3127,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz."
3377,Jk. I'm going to be a pussy about it. I don't want the love of my life seein me all scared and shit.
1607, I almost have enough rank to buy some stuff from the purple bitch. What should I buy from the exotic guy?
3587,That bitch filthy 
5289,"But you.. Nvm I don't see why men disrespect women by calling them offensive names like ""bitch"", ""hoe"", ""slut"", or ""female"". Smh"
2615,some kid in an angry birds costume bumped into me and I fell over making something else fall over into something else which wobbled and..
8037,"&# ; ' lbs aint thick bitch, you a fucking warthog&# ;&# ;"
1997, I will not buy your bitch no red bottoms.... So don't even worry bout that cuzzo..
7, I tweet like a nigger
6493, why ur profile a one armed nigger?
8539, This height shit aint cute at all. Yall some dumb hoes going out in public looking like Jack and the bean stalk. &# ; 
6032," money ova bitches I'm yellin it ta da grave developed at ah young age, go afta wat pays &# ;"
2167,""" "" "" I'm on my way love a #chav""hot"" sexy scally fucker."
9587," i text my ex while she was with her bf so they can fight I was like ""you looked cute today"" &amp; I aint seen the bitch in &# ;"
965, Look at that bitch way over there stalking my twitter
538," One scout said Prado is ""first team most underrated."" Gives the Yankees a b through , could slide to b if needed too."
753, Lmaoo nigger is scared &# ; &# ; So results are supposed to be out today Lol lol&# ;
905, Free the squaddd We in this bitch Solid FIRST BLOCK FREEE US
2782,Oreos are my life
1191,All these touch screen phones and hoe u still got flipped 
2731,real nigga shit she wanna be a righteous young rich nigga bitch
6824," but you were too busy being a raging bitch and not caring that your ""best friend"" was going through hell So there's my punch &# ;"
1695,God you're a faggot if you dont think superman is the best superhero
1862, My bitch sad lookin like a lack of funny
1542,Des hoes silly goose's
7112,mmm you still a hoe
15977,pussy
7875,Slim niggah but you know i love em thick
4699," Crooked number followed by shut down frame, love it. #Yankees"
613, Charles Manson's fiancee will have a difficult time planning their honeymoon. Charlie can't surf.
340, each time I do it for ya I make that bad pussy behave
14916, niggers*
5750,"&# ; Uh excuse me bitch, you don't need to shout.&# ; "
1678, Alabama is overrated this yr the last weeks has shown too many chinks in their armor WV gave them hell too
2114, And I probably fucked yo bitch homie....
1423,""" Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life "
8368,I will eat these hoes alive &# ;&# ;&# ;&# ; 
6004,"Feb was a record setting day for the word faggot, apparently: "
1894,first thing to do when i wake up: sell my hoe
2264, my nigga what her pussy smell like?
5071,About to smack some peckerwoods in a Judge pit
5129,Tweekin hoe &# ;&# ;
598, First day of spring break: ate half a pan of brownies &amp; watched episodes of Parks and Rec with &amp; 
6215,These bitches boringgggg
132, Photoshop putting my head on fags is not proof.
2174,"Got hit on by a yr old cripple...&amp; thinking, even if I were to accept your sexual advances there wouldn't be much you could do about it."
6761,"If a spic ever talks to a white person and the white person kills them, it's self defense."
6009, The sound of wet pussy &# ;&# ; &gt;&gt;
2181,My mom bitches too much
7793,When you told ya Homie she was a hoe but he still wifed it &# ; Caption this 
1006,#Bartending becomes a real bitch when you the #bartender are way way taller than the bar was designed for. Holy back pains.
6960,Not my fault yo bitch wanna flip me
5570, yes. Why protest about sexism then go right home and beg for a guy to beat your pussy up? Im lost at times
8331, cuff her crazy boy you might not ever find another especial not these dirty crew fucking party hoes out here &# ;
15437, Good pussy will make a nigga cum quick shit be over faster than a vine video
8974, I hate myself for bein so nice to these hoes bro. ..
2762, he trash tbh #StartMikeVike
16171, bitch
248,"I'm not dating anyone right now, I'm giving my pussy a brake."
3634,I feel the sorry for the nice people in this world because they're actually the solution. Its all you hoes and assholes thats the problem
2595, you must have sent a bird call because I didn't get shit
3231, This is my beach bitch 
15973,Lmaoooooo &# ; That bitch stripping at a murder scene &# ; My view &# ; 
1359, why I was bouta grab dem hoes yeterday outta hook ups &# ;
1155, After u finger an asian bitch 
3548, somebody looks like the die on the first tubes on flappy bird lol!
3288, PM: Last night this incitement was translated into the murder of a father traveling w/his family to celebrate the first nig&# ;
6092, I'll naturally slap the shit outa oomf that bitch talk to much.
5486,glad to know you were just a hoe looking for all the attention #GladYoureGone
2504,Leg day made me it's bitch.
2684, some Mets fan tried telling me Rivera isn't of the best Yankees of all time because he is just a closer. WTF
1315," Tell Bubba in Alabama youre African and not black and he's gonna call you a nigger with an EXTRA hard ""ER""."
3832, bitch bye.
2200,I hate that wee boy wae the squinty eyes in the game of thrones. #Suchaprick #hopehegetskilled
6021, &amp; ima eat that pussy all filthy &# ;
3099, When you're approaching your high score in flappy bird and die one pipe away 
5914, shit he prolly is other than that everybody else trash
16162,&# ; Anybody that gets traded straight up for Brandon knight is trash 
258,The Bucs has great uniforms and ruined them both for that trash smh
15582,"Now put Ya ass on this dicc, let me know you that baddest lit bitch."
2435, Mass. GOP Gov.-elect Charlie Baker: No driver's licenses for illegal aliens ==&gt; #NoAmnesty
9813, When you and your friend are talking and that bitch y'all heavily don't fuck with walks past 
2711,"They say numbers dont lie, bitch im not the "
892,I gotta bitch to suck my dick till I nut spit it on my gut and slurp that shit back up ain't that a slut
1598,#ThingsNotToDoOnAFirstDate give her all da dick U gotta half stroke da pussy bc if u dump dick on dat bitch she gon become extremely anoyin
2669,"I be seein you bitches in the whip wit your boyfriend but he be lookin like your dad so I be eye ballin, then here comes ole salty ass bf"
9740, Alot of good girls made a twitter &amp; became a hoe for the attention they don't receive from their fathers.
6496,"As a girlfriend I'm NEVER getting close to my boyfriend friends , cause they can be telling me one thing , and telling these hoes another."
4204, Lol got these hoes in they feelings !
1442, follow back bitch
14946," Asked three-year-old niece why the sun is yellow. Her reply: ""Maybe there's bees in there."""
2287,Hmu talmbout match but when I pull up its other niccas wit ya &# ;
9113, I wonder what Charlie Brown would have to say about these days.
3727,Lmao RT The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1704,jm sorry to hear this I'm going to chipotle for the first time. It better not be trash.
4176,Ladies... LMaooo. . &# ; RT if your pussy better than your personality.&# ;
2976, Lmaoooo fam I stabbed a person once in COD ghost and he said I stab like a nigger
318," I know, bitches. Let's do something this weekend. Let's bake!"
9406, Cant spell above and beyond without hoe
5861, should be lol lil bitch
3278,&# ; SMDH Eagles fans. You a bitch! Hey Giants fans: Victor Cruz is over. Dance to that.&# ; Hey watch it
39, these hoes ain't loyal
2411,Japanese mature cat with spots has her old pussy split wide and filled with hard&# ;cocks 
5537,my mom tried to get me to buy beaner boots bc they were on sale like I'm not in a mariachi band please stop.
3821,Fuuuuuck you you stupid fucking cunt
3120, yellow face and it's a no.
5122, Can I bring another bitch let's have a some
2950,Biker gang looking ass bitches with titty tats. Foh sons of anarchy.
2750,Fuck MLK &# ; &# ; Why does Lexii keep favoriting my coon tweets ?&# ; MLK didnt die for this&# ;
7861, Go dumb bitch do your dumb dance
6862, I really hate skyler like she's loaning money and it's not even hers like bitch wtf
1346, Teixeira on point tonight. #Yankees
1617, what's the name of that hoe? Lol it sounds good
15366,i need to go to the mexican flea market and grab some fake gucci sandals so i can stunt on you hoes
424, &# ; You're a faggot&# ;you're a Texas fan...
1003," man both them get around a lot, bunch of hoes."
4023, Stop gassing up these regular ass bitches
7339,The Conjuring wasn't trash. It just wasn't as good as Insidious.
2471, Damn I hate a bitch that like to argue and shit
874,The bitches behind me are so annoying
32," I fucked your bitch , &# ;&# ; how you feel?"
2943," Ladies, if your pussy sounds like this please hit my DMs. I need you for a science project &# ; "
3336,You ain't nothin but a piece of cheese with out the corners in other words you ain't never gone be a slice bitch &# ;&# ;&# ;
3651,Them quiet girls be hoes to watch out
15562,I luh to lick the middle like an Oreo
2027,Like Nike bitch just do it!
1698,&# ; my nerves are being worked cos of my monkey &# ;&# ;
8717,Nobody should ever have sex with a dirty dick or pussy. That says a lot about you if you fuck em knowing they smell like chitlings
2876,"like ""look at this annoying little / year old asking for a ride haha fuck her poser bitch ass"""
15289," You always say we dont love these hoes, yet yo girl a hoe... "
6284,All the snacks in this bitch &# ;
127," Criticize Amanda for saying the n word, sure, but don't make jokes about her sexual assault, don't be trash."
1068, Watch social media with all that hate in their blood try and wish bad on Derrick! He back bitch! Stop hating #Stronger #Qui&# ;
3752,It stink in this bitch it must be them pussy ass niggas talkin shit
1438,it's gotten to the point where I literally don't care and I'm gonna start punching bitches if they don't move in the hallway
3978,Flabby bird sounds Turrible. Lol. I'll just stick to watching paint dry...
2004," These hoes be twerkin for Birkin, poppin coochie for Gucci, bustin wide for that Prada, Bendin over for Louis"
1613, You thought you had enough hair for a ponytail bitch ! 
1623,I wanna get this hoe on my arm with a diamond coming out of the cloud..&# ;&# ;&# ; #RIPRICK 
3755, I have not watched part of the reunion. I'm so over them hoes. I don't even care
2878,&# ;&# ;&# ;&# ;&# ;&# ;&# ; Nope Thts not wht it says here.. I'm not a hoe. I'm a people person 
2930,We trash
8283,Truuuuuuuuuuu facts both then niggaz is pussy nd I'll tag em both nd cassidy r/p by my nigga let 
81,Married a skinny bitch but trickin wit a thick bitch.. She got sum big hips I call that boa a hypocrite
3141," It's &amp; you niggas still runnin round sayin ""Yall don't eat pussy"". Y'all must be suckin dick."
2646,Sloppy ignorance in all my pockets come her lil bitch I want sloppy toppy
5126," My daddy told me not to date a man with soft hands lol... Either he doesn't do hard labor or he's a ""faggot""."
16507,Bet you ain't gone @ em tho..&# ;&# ; Na why OOMF just tweeted that ?&# ;&# ;&# ;&# ;&# ;&# ; &amp; she know ha pussy WACK
7345,&# ; I just made that interview my bitch. &# ;&# ;--finessed it huh!? Lol
6913,You are a bitch. #CallEmLikeISeeEm
8653,"#real Don't tell me if my gf was a hoe before me, if I'm happy."
807,I should be in jail it's a crime hoe I kill these beats
4569," When a bitch say ""I love you"" hit her wit the reverse psychology &amp; say ""do you?"" It work % of the time cuh the other % g&# ;"
15680,why are people acting like they didn't know hoe allen was going to the cavs months ago?
8282,&# ; This weather need to not flag today! We trying to zip a bitch tonight&# ; yessssirrrrr
2879, mfka what ok bitch we going to see. Your a funny mother fucker
4911,"Aghh! I took my minute break to relax for a bit, not to here this bitch yell&amp;complain! &# ;"
1215,#Yankees Nice bounce back Kay. Gotta keep this going!
6484,"Drake vs. Tyga beef, Yung Berg, Lil Fizz, Chris Brown bitch rants on Twitter, ILOVEMAKONNEN getting drug off stage. Light skins taking L's"
883,Am ghetto 
6604," Wilde nog even checken op Twitter hoe het ging maar had zo'n heftige wond niet verwacht, heftig. Sterkte &amp; beterschap hoor!"
3741,Y'all know what I'm thankful for..... Ya bitch lmaoo my sister funny
3782,"&# ; Half y'all hoes still got nut in y'all baby hairs , shut up &# ;&# ; "
6766, Iggy got a fat ass but other than the bitch look like a flounder fish
5748,&# ; They game is over fuck yall bitches &amp; yall attitudes &# ;&# ;&# ;&# ;&# ; 
4838, Yung nation- riot . Still bump that hoe
6765,"Savage can fuck right off, shirty cunt"
699,Tell that hating ass niggah to shut the fuck up
9075,A guy on True Blood is getting his penis inspected and the doctor told him it look like an eggplant &# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;
3985,"Hmm.. Ass all chunky, brain is insanity."
3381, It's unattractive when girls act ghetto
4200,Harlem World trash? Interesting.
15189,After watching the desolation of smaug I have come to the conclusion that bilbo made all other hobbits look like bitches in LOTR.
489, You can roll? And what you got to eat? Barter system my nig!
3036,Sebastian is high on cat nip rn
9266,Anytime somebody say u wan hear a funny that shit gon be trash..
214,Shoot that nigga an his shorty bitch .
15365," I dislike them weed men that bless u a couple times then begin ta tax ya , like damn pussy you tryna play a pothead"
2929,My stomach hurt like a bitch yoo
3785,The #teabagger #freemarket really doing wonders in #Bangladesh these last couple of days. #tcot #p #teaparty #randpaul
1216, Use what talent you possess: the woods would be very silent if no birds sang except those that sang best.
7659,"Somebody couldve been like ""aye man you dropped your money"" but nooooooo fucking broke faggots selfish bastards i hate yall"
8203, I can post a picture of chrus at like in the morning and the little nigga will favorite and retweet that hoe
16384, Stoner Chicks &gt; Drunk hoes 
1908,Lol!! &# ; Ooop! QT You little twats.&# ;
2173," ""Young N****s act hard and all the bad B*****s grew up to be trash broads"" - "
1269, when bet now i make sure that bitch is not involved that's thing floyd and pac can agree on she screwed em both
3314,If she hates being kissed in the mouth she a hoe.Tell me different.
922,I do the shit you bitches is too pussy to do
6185,Girls the days be confused hoes ain't nobody got time fo that !
2983,"These nigs is haters man, and I've made myself so easy to luv"
15800," RT Lib Hypocrisy alert&# ; bans ""bossy"" but ""bitch"" is okay! #tcot "
6848, Shy bladder group protests Rob Lowe DIRECTV ad... 
676,"We're Bringing The Cadaver Dogs, Charlie Brown. #rejectedpeanutsspecials"
2293," &# ; KING was fire King, TI vs tip and that troubleman albums all trash.&# ; Most def"
2160,Diabetes galore &# ;&# ;&# ;&# ;&# ; Colorado health officials recommend pot brownie ban 
1301, Gee isn't cracker a racist term? So tired of these race baiters.
8859,"You pussy nigga, I see ya whiskers"
7083,Bitch bitch bitch
211,My bird got a headache &# ;&# ;
4647, he see the jig
9223,Whoooooaaa no chill savage &# ; Here monkey monkey 
2200, she's a dyke
2742,Sometimes you don't wanna fuck the bitch but her head so good you end up fucking
283, Her pussy loves it when I speak in tongues.
6810,Same niccas tryna be around me .. The same niccas that used to down me!
8084, no I wuz just making a general statement. I've never called u a bitch
1534," ""That shit can break you down if you lose a good girl, I guess you need a bad bitch to come around and make it up"""
1782," fuck off lil bitch, prolly gotta lil dick"
16497, yeah they trash. Q... this man capitalized his H tho.... i'm takin all ya fans.
1807, Get this bitch out of my house
3662,Lol it's : and bitches are out here staggering drunk
2534,I don't buy pussy cuz it's free bitch I buy lacs!
948,Monkey see monkey do really Abu
880,Many people claiming slippery slope is now absolute are same ones who said slippery slope is an argument for the paranoid delusional. #tcot
3260, that's true in some ways. Gaming is very broad now a days tho. Everyone is a gamer with candy crush and angry birds
1057,If I ever ate your pussy before and you fucked over niggas before that let me know right now because you owe me $ you dirty bitch
2249," i swear I'm a nice girl, until you do something that pisses me off... then the bitch comes out."
3938, I wonder if the progs didn't relegate young black men to the ghettos to keep them away from harry reid's friends...
485,Charlie Sheen wants to return to 'Two and a Half Men' | 
9562," bitch when r u going to get ur round, I just fucking said this just proving my point"
377,"I'm goin big, bitch, suck my dick"
2291, &# ; Lord please don't let this bitch kill my vibe.
1137,Don't be fooled I kickit with niggas and bitches older then you so . . .
606, Inch that bitch out and flick it wit my tongue like a damn pinada
16547,"I told that little bitch ass nigga, ""do it look like I'm about to eat your gun charge?"" I'll slap you and your hoe ass lawyer."
840," Tell me again how Citizen Kane is the best movie of all time, then go watch Caddyshack. you pretentious film school cunt."
7747,"Im married to a retard, must be why we're so good together. Nigga hunching me in his sleep."
3532,&# ; My leave out is trash &# ;&# ;&# ;&# ;&# ; u sick
933, wayhustle come get signed bitch we self paid.
5763,"the rams really dont wanna be trash, jeff fisher really bout it"
7953,"*Bows down* ""Yes bitchmaster bitch"""
7164,"It's just not the same, #LittleDebbie #Cloud #Cake are not #Twinkies! "
1662,"I'm Camera Shy, Don't Talk on Phones and Love when it rain.....If youn kno the life you wouldn't understand"
4597, bunch of rappers boutta flood the internets w/ trash remixes
1532,I can't tell if I want to fuck you or if I want to slit your throat
2816,Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.
1637,"""Fresh nigga so you kno I need a clean bitch... Who kno I'm working cuz I wanna see my team rich."" "
9819, My bitch makes your bitch look like precious &# ;&# ;&# ;&# ; #thebooty #ohgawd #bae 
4346,I swear I hate when Im somewhere and a woman catches my rubberband that clearly says KAPPA ALPHA PSI and ask me am I a kappa. Yes bitch lol
1664, i need of the bitches
2472, I rather go choke on your moms bomb pussy
9043,"&# ; shut the fuck up, you fucking trash nigga, work on another ring&# ; "
9683,good dick tattoos bitches like dat... talk to dem any kind of way the bitches like dat...
628, Are you sure you ain't colored?
8336, Some bitches think a trucker hat automatically makes them a model.....
3820, bye ugly hoe please do something about that nasty horse hair weave.
1773,"Bite me bitch , chew on a footer"
1046,Nigga hungry then a bitch too
461,I'll get so much pussy. 
6218,"Lmaoooo deep That girl curved every nigga that tried to holla and nobody said ""fuck you then bitch""...#whiteprivilege"
3868, It's cold as penguin pussy.
2742,Video: Charlie Baker makes final push for votes 
2501,"""I'm sorry I fucked yo bitch... But she really dig a nigga"" "
41," I am a California State Assemblywoman, but remain a proud #unionmember -- celebrating #LaborDay weekend ho&# ;"
3707,"If my bf posts a pic of my daughter, just like it and keep scrolling. Your comments aren't necessary. Yes bitch, I know she's cute."
2558, She made fun of a suicide attempt. Mellie ain't that bitch to fuck with this season!
